Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
println(listData),Chrome 106.0.0.0,,,2022-10-12 09:46:14,2022-10-12 09:46:14,0.001s,PASSED
"callTestCase(findTestCase(""Intermediate/Prerequisite1_Access_Immediate""), [:], STOP_ON_FAILURE)",Chrome 106.0.0.0,,,2022-10-12 09:46:14,2022-10-12 09:46:21,7.618s,PASSED
"click(findTestObject(""Intermediate/option_BootstrapListBox""))",Chrome 106.0.0.0,,,2022-10-12 09:46:21,2022-10-12 09:46:22,0.770s,PASSED
"for ([i = 0, i < length, (i++)])",Chrome 106.0.0.0,,,2022-10-12 09:46:22,2022-10-12 09:46:30,7.843s,PASSED
,,,,,,,
Test Cases/Intermediate/4_Bootstrap_List_Box/BLB4_Select_all_items_and_move,Chrome 106.0.0.0,,,2022-10-12 09:46:30,2022-10-12 09:47:00,30.562s,PASSED
"callTestCase(findTestCase(""Intermediate/Prerequisite1_Access_Immediate""), [:], STOP_ON_FAILURE)",Chrome 106.0.0.0,,,2022-10-12 09:46:30,2022-10-12 09:46:39,9.233s,PASSED
"click(findTestObject(""Intermediate/option_BootstrapListBox""))",Chrome 106.0.0.0,,,2022-10-12 09:46:39,2022-10-12 09:46:40,0.646s,PASSED
"click(findTestObject(""Intermediate/4_Bootstrap_List_Box/checkbox_select_all_in_left""))",Chrome 106.0.0.0,,,2022-10-12 09:46:40,2022-10-12 09:46:41,0.483s,PASSED
"click(findTestObject(""Intermediate/4_Bootstrap_List_Box/button_move_right""))",Chrome 106.0.0.0,,,2022-10-12 09:46:41,2022-10-12 09:46:41,0.484s,PASSED
delay(5),Chrome 106.0.0.0,,,2022-10-12 09:46:41,2022-10-12 09:46:46,5.005s,PASSED
"verifyElementNotPresent(findTestObject(""Intermediate/4_Bootstrap_List_Box/static_li_items_in_left""), 2)",Chrome 106.0.0.0,,,2022-10-12 09:46:46,2022-10-12 09:46:46,0.322s,PASSED
"for ([i = 1, i <= 10, (i++)])",Chrome 106.0.0.0,,,2022-10-12 09:46:46,2022-10-12 09:46:50,3.375s,PASSED
"click(findTestObject(""Intermediate/4_Bootstrap_List_Box/checkbox_select_all_in_right""))",Chrome 106.0.0.0,,,2022-10-12 09:46:50,2022-10-12 09:46:50,0.362s,PASSED
"click(findTestObject(""Intermediate/4_Bootstrap_List_Box/button_move_left""))",Chrome 106.0.0.0,,,2022-10-12 09:46:50,2022-10-12 09:46:51,0.467s,PASSED
delay(5),Chrome 106.0.0.0,,,2022-10-12 09:46:51,2022-10-12 09:46:56,5.008s,PASSED
"verifyElementNotPresent(findTestObject(""Intermediate/4_Bootstrap_List_Box/static_li_items_in_right""), 2)",Chrome 106.0.0.0,,,2022-10-12 09:46:56,2022-10-12 09:46:56,0.321s,PASSED
"for ([i = 1, i <= 10, (i++)])",Chrome 106.0.0.0,,,2022-10-12 09:46:56,2022-10-12 09:46:59,3.434s,PASSED
closeBrowser(),Chrome 106.0.0.0,,,2022-10-12 09:46:59,2022-10-12 09:47:00,1.078s,PASSED
,,,,,,,
Test Cases/Intermediate/4_Bootstrap_List_Box/BLB5_Search_select_and_move_to_left,Chrome 106.0.0.0,,,2022-10-12 09:47:00,2022-10-12 09:47:17,16.363s,PASSED
"TestID = ""TEST-00004""",Chrome 106.0.0.0,,,2022-10-12 09:47:01,2022-10-12 09:47:01,0.000s,PASSED
"FileTestData = ""TestData_Sheet5""",Chrome 106.0.0.0,,,2022-10-12 09:47:01,2022-10-12 09:47:01,0.001s,PASSED
totalRow = findTestData(FileTestData).getRowNumbers(),Chrome 106.0.0.0,,,2022-10-12 09:47:01,2022-10-12 09:47:01,0.044s,PASSED
