Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
"callTestCase(findTestCase(""Intermediate/Prerequisite1_Access_Immediate""), [:], STOP_ON_FAILURE)",Chrome 106.0.0.0,,,2022-10-12 09:38:40,2022-10-12 09:38:49,9.434s,PASSED
"click(findTestObject(""Intermediate/option_JQueryListBox""))",Chrome 106.0.0.0,,,2022-10-12 09:38:49,2022-10-12 09:38:50,1.294s,PASSED
"click(findTestObject(""Intermediate/5_JQuery_List_Box/button_Add_All""))",Chrome 106.0.0.0,,,2022-10-12 09:38:50,2022-10-12 09:38:51,0.544s,PASSED
"for ([i = 0, i < length, (i++)])",Chrome 106.0.0.0,,,2022-10-12 09:38:51,2022-10-12 09:39:02,11.125s,PASSED
,,,,,,,
Test Cases/Intermediate/5_JQuery_List_Box/JQLB6_select_single_item_and_click_Remove,Chrome 106.0.0.0,,,2022-10-12 09:39:02,2022-10-12 09:39:24,21.575s,PASSED
"TestID = ""TEST-00006""",Chrome 106.0.0.0,,,2022-10-12 09:39:03,2022-10-12 09:39:03,0.000s,PASSED
"FileTestData = ""TestData_Sheet6""",Chrome 106.0.0.0,,,2022-10-12 09:39:03,2022-10-12 09:39:03,0.000s,PASSED
totalRow = findTestData(FileTestData).getRowNumbers(),Chrome 106.0.0.0,,,2022-10-12 09:39:03,2022-10-12 09:39:03,0.048s,PASSED
totalColumn = findTestData(FileTestData).getColumnNumbers(),Chrome 106.0.0.0,,,2022-10-12 09:39:03,2022-10-12 09:39:03,0.049s,PASSED
rowNum = 1,Chrome 106.0.0.0,,,2022-10-12 09:39:03,2022-10-12 09:39:03,0.000s,PASSED
arrayLength = 0,Chrome 106.0.0.0,,,2022-10-12 09:39:03,2022-10-12 09:39:03,0.000s,PASSED
"for ([rowNum, rowNum < totalRow, (rowNum++)])",Chrome 106.0.0.0,,,2022-10-12 09:39:03,2022-10-12 09:39:03,0.331s,PASSED
"println(""Row number is: "" + rowNum)",Chrome 106.0.0.0,,,2022-10-12 09:39:03,2022-10-12 09:39:03,0.001s,PASSED
"for ([i = 0, i < totalColumn - 1, (i++)])",Chrome 106.0.0.0,,,2022-10-12 09:39:03,2022-10-12 09:39:03,0.426s,PASSED
"println(""Array length is: "" + arrayLength)",Chrome 106.0.0.0,,,2022-10-12 09:39:03,2022-10-12 09:39:03,0.000s,PASSED
listData = [],Chrome 106.0.0.0,,,2022-10-12 09:39:03,2022-10-12 09:39:03,0.000s,PASSED
"for ([rowNum = 1, rowNum < totalRow, (rowNum++)])",Chrome 106.0.0.0,,,2022-10-12 09:39:03,2022-10-12 09:39:05,1.039s,PASSED
println(listData),Chrome 106.0.0.0,,,2022-10-12 09:39:05,2022-10-12 09:39:05,0.000s,PASSED
"callTestCase(findTestCase(""Intermediate/Prerequisite1_Access_Immediate""), [:], STOP_ON_FAILURE)",Chrome 106.0.0.0,,,2022-10-12 09:39:05,2022-10-12 09:39:13,8.349s,PASSED
"click(findTestObject(""Intermediate/option_JQueryListBox""))",Chrome 106.0.0.0,,,2022-10-12 09:39:13,2022-10-12 09:39:14,1.046s,PASSED
"click(findTestObject(""Intermediate/5_JQuery_List_Box/button_Add_All""))",Chrome 106.0.0.0,,,2022-10-12 09:39:14,2022-10-12 09:39:14,0.527s,PASSED
"for ([i = 0, i < length, (i++)])",Chrome 106.0.0.0,,,2022-10-12 09:39:14,2022-10-12 09:39:23,8.190s,PASSED
closeBrowser(),Chrome 106.0.0.0,,,2022-10-12 09:39:23,2022-10-12 09:39:24,1.091s,PASSED
,,,,,,,
Test Cases/Intermediate/5_JQuery_List_Box/JQLB7_select_multiple_items_and_click_Remove,Chrome 106.0.0.0,,,2022-10-12 09:39:24,2022-10-12 09:39:47,23.510s,PASSED
"TestID = ""TEST-00007""",Chrome 106.0.0.0,,,2022-10-12 09:39:24,2022-10-12 09:39:24,0.000s,PASSED
"FileTestData = ""TestData_Sheet6""",Chrome 106.0.0.0,,,2022-10-12 09:39:24,2022-10-12 09:39:24,0.001s,PASSED
totalRow = findTestData(FileTestData).getRowNumbers(),Chrome 106.0.0.0,,,2022-10-12 09:39:24,2022-10-12 09:39:24,0.051s,PASSED
totalColumn = findTestData(FileTestData).getColumnNumbers(),Chrome 106.0.0.0,,,2022-10-12 09:39:24,2022-10-12 09:39:24,0.053s,PASSED
rowNum = 1,Chrome 106.0.0.0,,,2022-10-12 09:39:24,2022-10-12 09:39:24,0.000s,PASSED
arrayLength = 0,Chrome 106.0.0.0,,,2022-10-12 09:39:24,2022-10-12 09:39:24,0.000s,PASSED
"for ([rowNum, rowNum < totalRow, (rowNum++)])",Chrome 106.0.0.0,,,2022-10-12 09:39:24,2022-10-12 09:39:25,0.365s,PASSED
"println(""Row number is: "" + rowNum)",Chrome 106.0.0.0,,,2022-10-12 09:39:25,2022-10-12 09:39:25,0.000s,PASSED
"for ([i = 0, i < totalColumn - 1, (i++)])",Chrome 106.0.0.0,,,2022-10-12 09:39:25,2022-10-12 09:39:25,0.311s,PASSED
"println(""Array length is: "" + arrayLength)",Chrome 106.0.0.0,,,2022-10-12 09:39:25,2022-10-12 09:39:25,0.000s,PASSED
listData = [],Chrome 106.0.0.0,,,2022-10-12 09:39:25,2022-10-12 09:39:25,0.000s,PASSED
"for ([rowNum = 1, rowNum < totalRow, (rowNum++)])",Chrome 106.0.0.0,,,2022-10-12 09:39:25,2022-10-12 09:39:26,1.065s,PASSED
println(listData),Chrome 106.0.0.0,,,2022-10-12 09:39:26,2022-10-12 09:39:26,0.000s,PASSED
"callTestCase(findTestCase(""Intermediate/Prerequisite1_Access_Immediate""), [:], STOP_ON_FAILURE)",Chrome 106.0.0.0,,,2022-10-12 09:39:26,2022-10-12 09:39:33,6.672s,PASSED
"click(findTestObject(""Intermediate/option_JQueryListBox""))",Chrome 106.0.0.0,,,2022-10-12 09:39:33,2022-10-12 09:39:34,0.850s,PASSED
"click(findTestObject(""Intermediate/5_JQuery_List_Box/button_Add_All""))",Chrome 106.0.0.0,,,2022-10-12 09:39:34,2022-10-12 09:39:34,0.515s,PASSED
delay(3),Chrome 106.0.0.0,,,2022-10-12 09:39:34,2022-10-12 09:39:37,3.012s,PASSED
driver = getWebDriver(),Chrome 106.0.0.0,,,2022-10-12 09:39:37,2022-10-12 09:39:37,0.000s,PASSED
actionPress = new org.openqa.selenium.interactions.Actions(driver),Chrome 106.0.0.0,,,2022-10-12 09:39:37,2022-10-12 09:39:37,0.001s,PASSED
actionPress.keyDown(CONTROL),Chrome 106.0.0.0,,,2022-10-12 09:39:37,2022-10-12 09:39:37,0.000s,PASSED
"for ([i = 0, i < length, (i++)])",Chrome 106.0.0.0,,,2022-10-12 09:39:37,2022-10-12 09:39:39,1.986s,PASSED
actionPress.keyUp(CONTROL),Chrome 106.0.0.0,,,2022-10-12 09:39:39,2022-10-12 09:39:39,0.000s,PASSED
"click(findTestObject(""Intermediate/5_JQuery_List_Box/button_Remove""))",Chrome 106.0.0.0,,,2022-10-12 09:39:39,2022-10-12 09:39:40,0.381s,PASSED
"for ([i = 0, i < length, (i++)])",Chrome 106.0.0.0,,,2022-10-12 09:39:40,2022-10-12 09:39:43,3.591s,PASSED
delay(3),Chrome 106.0.0.0,,,2022-10-12 09:39:43,2022-10-12 09:39:46,3.014s,PASSED
closeBrowser(),Chrome 106.0.0.0,,,2022-10-12 09:39:46,2022-10-12 09:39:47,1.126s,PASSED
